iter	Passed	Remaining
444	1139	1420
445	1140	1416
446	1143	1414
447	1145	1410
448	1146	1406
449	1147	1403
450	1149	1399
451	1150	1395
452	1152	1391
453	1154	1387
454	1155	1384
455	1158	1381
456	1159	1378
457	1161	1374
458	1163	1370
459	1164	1367
460	1166	1363
461	1167	1359
462	1169	1356
463	1170	1352
464	1173	1350
465	1175	1346
466	1176	1343
467	1178	1339
468	1179	1335
469	1181	1331
470	1182	1328
471	1183	1324
472	1185	1321
473	1188	1318
474	1190	1315
475	1191	1312
476	1193	1308
477	1195	1305
478	1196	1301
479	1198	1298
480	1199	1294
481	1201	1291
482	1203	1288
483	1205	1285
484	1207	1281
485	1208	1278
486	1210	1275
487	1211	1271
488	1213	1267
489	1214	1264
490	1216	1261
491	1219	1258
492	1220	1255
493	1222	1251
494	1223	1248
495	1225	1244
496	1226	1241
497	1228	1238
498	1229	1234
499	1231	1231
500	1233	1228
501	1235	1225
502	1236	1222
503	1238	1218
504	1239	1215
505	1241	1211
506	1242	1208
507	1244	1205
508	1246	1202
509	1248	1199
510	1249	1196
511	1251	1192
512	1252	1189
513	1254	1185
514	1255	1182
515	1257	1179
516	1258	1175
517	1260	1172
518	1264	1172
519	1267	1169
520	1268	1166
521	1271	1163
522	1272	1160
523	1273	1157
524	1278	1156
525	1280	1153
526	1282	1150
527	1284	1147
528	1285	1144
529	1287	1141
530	1288	1138
531	1293	1137
532	1295	1134
533	1296	1131
534	1298	1128
535	1300	1125
536	1301	1122
537	1303	1118
538	1306	1117
539	1308	1114
540	1310	1111
541	1312	1108
542	1313	1105
543	1315	1102
544	1316	1099
545	1318	1096
546	1321	1094
547	1323	1091
548	1325	1089
549	1327	1086
550	1329	1083
551	1330	1080
552	1332	1077
553	1334	1074
554	1337	1072
555	1339	1069
556	1341	1066
557	1342	1063
558	1343	1060
559	1345	1057
560	1347	1054
561	1350	1052
562	1352	1050
563	1354	1047
564	1356	1044
565	1357	1040
566	1359	1037
567	1360	1035
568	1362	1032
569	1363	1028
570	1366	1026
571	1368	1024
572	1370	1021
573	1372	1018
574	1374	1015
575	1375	1012
576	1379	1011
577	1381	1008
578	1383	1005
579	1385	1002
580	1387	1000
581	1388	997
582	1390	994
583	1394	993
584	1396	990
585	1397	987
586	1399	984
587	1400	981
588	1402	978
589	1403	975
590	1405	972
591	1408	970
592	1409	967
593	1411	964
594	1413	962
595	1415	959
596	1417	956
597	1419	953
598	1420	950
599	1423	948
600	1424	945
601	1426	943
602	1428	940
603	1429	937
604	1430	934
605	1432	931
606	1434	928
607	1435	925
608	1438	923
609	1440	920
610	1441	917
611	1443	915
612	1444	912
613	1446	909
614	1447	906
615	1449	903
616	1450	900
617	1454	898
618	1456	896
619	1459	894
620	1460	891
621	1462	888
622	1463	885
623	1465	882
624	1468	880
625	1469	878
626	1471	875
627	1472	872
628	1474	869
629	1475	866
630	1477	864
631	1479	861
632	1480	858
633	1483	856
634	1485	853
635	1487	851
636	1488	848
637	1489	845
638	1491	842
639	1492	839
640	1496	837
641	1498	835
642	1499	832
643	1501	829
644	1502	826
645	1503	824
646	1505	821
647	1506	818
648	1509	816
649	1511	814
650	1513	811
651	1515	808
652	1516	805
653	1518	803
654	1519	800
655	1521	797
656	1523	795
657	1526	793
658	1527	790
659	1529	787
660	1530	785
661	1532	782
662	1533	779
663	1535	777
664	1537	774
665	1538	771
666	1541	769
667	1543	767
668	1545	764
669	1546	761
670	1548	759
671	1549	756
672	1551	753
673	1553	751
674	1556	749
675	1557	746
676	1559	744
677	1561	741
678	1562	738
679	1564	736
680	1566	733
681	1567	731
682	1570	729
683	1572	726
684	1574	724
685	1576	721
686	1577	718
687	1579	716
688	1580	713
689	1582	710
690	1584	708
691	1586	706
692	1588	703
693	1589	700
694	1590	698
695	1592	695
696	1593	692
697	1595	690
698	1596	687
699	1598	685
700	1601	682
701	1603	680
702	1605	678
703	1607	675
704	1608	673
705	1610	670
706	1611	668
707	1614	666
708	1616	663
709	1618	661
710	1619	658
711	1621	655
712	1622	653
713	1624	650
714	1626	648
715	1628	645
716	1630	643
717	1632	641
718	1633	638
719	1635	636
720	1637	633
721	1638	631
722	1640	628
723	1641	625
724	1645	623
725	1647	621
726	1648	619
727	1650	616
728	1652	614
729	1653	611
730	1655	609
731	1656	606
732	1658	604
733	1660	601
734	1661	599
735	1663	596
736	1665	594
737	1666	591
738	1668	589
739	1669	586
740	1671	584
741	1672	581
742	1675	579
743	1676	576
744	1677	574
745	1679	571
746	1680	569
747	1682	566
748	1684	564
749	1685	561
750	1687	559
751	1689	557
752	1691	554
753	1692	552
754	1694	549
755	1695	547
756	1696	544
757	1698	542
758	1700	539
759	1701	537
760	1704	535
761	1706	532
762	1707	530
763	1709	527
764	1710	525
765	1712	523
766	1714	520
767	1716	518
768	1718	516
769	1720	513
770	1721	511
771	1723	508
772	1724	506
773	1726	504
774	1728	501
775	1730	499
776	1734	497
777	1735	495
778	1738	493
779	1739	490
780	1741	488
781	1743	485
782	1744	483
783	1748	481
784	1750	479
785	1752	477
786	1753	474
787	1755	472
788	1757	469
789	1758	467
790	1759	465
791	1763	463
792	1765	460
793	1767	458
794	1769	456
795	1771	453
796	1772	451
797	1774	449
798	1778	447
799	1781	445
800	1783	443
801	1785	440
802	1787	438
803	1788	436
804	1790	433
805	1793	431
806	1795	429
807	1797	427
808	1798	424
809	1800	422
810	1801	419
811	1803	417
812	1805	415
813	1808	413
814	1811	411
815	1813	409
816	1815	406
817	1817	404
818	1818	401
819	1820	399
820	1821	397
821	1825	395
822	1827	392
823	1828	390
824	1830	388
825	1832	386
826	1834	383
827	1835	381
828	1839	379
829	1841	377
830	1843	374
831	1844	372
832	1846	370
833	1847	367
834	1849	365
835	1850	363
836	1854	361
837	1855	358
838	1857	356
839	1859	354
840	1860	351
841	1862	349
842	1864	347
843	1865	344
844	1867	342
845	1869	340
846	1871	338
847	1872	335
848	1874	333
849	1875	331
850	1877	328
851	1878	326
852	1880	324
853	1884	322
854	1885	319
855	1887	317
856	1888	315
857	1889	312
858	1891	310
859	1893	308
860	1894	305
861	1896	303
862	1898	301
863	1899	299
864	1901	296
865	1902	294
866	1904	292
867	1905	289
868	1907	287
869	1908	285
870	1910	282
871	1912	280
872	1914	278
873	1916	276
874	1917	273
875	1919	271
876	1920	269
877	1922	267
878	1923	264
879	1925	262
880	1927	260
881	1929	258
882	1930	255
883	1932	253
884	1934	251
885	1935	249
886	1937	246
887	1938	244
888	1940	242
889	1942	240
890	1944	237
891	1945	235
892	1947	233
893	1948	231
894	1950	228
895	1951	226
896	1953	224
897	1955	222
898	1957	219
899	1958	217
900	1960	215
901	1961	213
902	1963	210
903	1964	208
904	1966	206
905	1967	204
906	1968	201
907	1971	199
908	1973	197
909	1975	195
910	1976	193
911	1978	190
912	1979	188
913	1981	186
914	1982	184
915	1983	181
916	1986	179
917	1987	177
918	1989	175
919	1990	173
920	1992	170
921	1993	168
922	1995	166
923	1996	164
924	1998	162
925	2001	159
926	2003	157
927	2004	155
928	2006	153
929	2007	151
930	2009	148
931	2010	146
932	2012	144
933	2014	142
934	2018	140
935	2020	138
936	2022	135
937	2024	133
938	2025	131
939	2027	129
940	2028	127
941	2031	125
942	2032	122
943	2034	120
944	2035	118
945	2037	116
946	2039	114
947	2040	111
948	2042	109
949	2043	107
950	2046	105
951	2047	103
952	2049	101
953	2051	98
954	2052	96
955	2054	94
956	2055	92
957	2057	90
958	2058	88
959	2061	85
960	2063	83
961	2064	81
962	2066	79
963	2067	77
964	2069	75
965	2071	72
966	2072	70
967	2076	68
968	2078	66
969	2080	64
970	2081	62
971	2083	60
972	2084	57
973	2086	55
974	2088	53
975	2091	51
976	2094	49
977	2095	47
978	2097	44
979	2099	42
980	2101	40
981	2102	38
982	2104	36
983	2107	34
984	2109	32
985	2111	29
986	2113	27
987	2115	25
988	2116	23
989	2118	21
990	2119	19
991	2123	17
992	2125	14
993	2127	12
994	2128	10
995	2130	8
996	2131	6
997	2133	4
998	2134	2
999	2138	0
